,artistic,nature_people,fitness,shoewear,sports_accessories
uniform,0.02896725,0.009627994,0.0035559232,0.005638809,0.033627566
footwear,0.005273917,0.020445911,0.01300688,0.044107124,0.030025804
player,0.021947,0.0012140059,0.009462812,0.015021417,0.028825214
game,0.0061514378,0.002416009,0.009462851,0.003762366,0.026424259
thigh,0.026334591,0.016839888,0.014749894,0.024895942,0.024023082
shirt,0.019314371,0.004819973,0.011825587,0.009391867,0.022822566
short,0.00790647,0.014435972,0.005918708,0.004700618,0.02162199
adidas,0.021069517,0.014435929,0.02482083,0.022527363,0.021621935
sky,0.008201266,0.058909792,0.018097652,0.02004545,0.021621877
outdoor,0.003518878,0.01924397,0.0023745422,0.024403924,0.01922089
heretocreate,0.036457255,0.013233903,0.02009521,0.010765996,0.019220855
human,0.014926686,0.01563791,0.025187934,0.023173876,0.019220809
sneaker,0.0017638267,0.006021986,0.0047373283,0.00563885,0.01802039
boost,0.0008862976,0.0036179957,0.003555942,0.002824116,0.018020388
event,0.02195092,0.0072239595,0.00710004,0.007511122,0.018020337
jersey,0.020191962,0.002416004,0.010644206,0.0018858664,0.018020293
create,0.029844759,0.008425912,0.023152025,0.013531813,0.01802026
leg,0.012294094,0.025253935,0.01209744,0.046706,0.01802025
athletic,0.0026413589,0.0048199994,0.004737322,0.008453591,0.01681984
ball,0.0026413596,1.2020201e-05,0.0071000606,0.0065771267,0.016819727
link,0.0061514555,0.014435981,0.0059187044,0.0037623427,0.015619254
body,0.0061514606,0.013233968,0.025231015,0.013757282,0.015619203
bio,0.006151473,0.014435894,0.0059186723,0.0037623632,0.015619195
run,0.0052768416,0.016840007,0.0038962858,0.007241967,0.014418688
walking,0.0008862998,0.0024160077,0.0035559298,0.01126832,0.01441867
gesture,0.032481045,0.012031952,0.024820771,0.017832203,0.014418659
time,0.010542296,0.008425965,1.1814013e-05,0.0056355153,0.013218109
muscle,0.004396404,0.004820007,0.026002215,0.0018858637,0.013218099
street,0.017901681,0.020445919,0.024267912,0.03385939,0.013218033
shorts,0.0070289453,0.012031898,0.007392196,0.021357037,0.013218017
joint,0.004396395,0.0036180054,0.015369708,0.008453573,0.012017537
available,0.006151459,0.004819997,0.013007,0.009391839,0.012017526
arm,0.008784021,0.0024159967,0.030055044,0.003358288,0.012017524
art,0.03335494,0.014435988,0.016551076,0.009391816,0.012017484
knee,0.02106947,0.0096279625,0.0059186555,0.023465589,0.012017399
hair,0.01404924,0.0060219862,1.1814015e-05,0.0056388555,0.01081704
product,0.0070290323,0.010830039,0.0047373017,0.002824117,0.010816987
see,0.020192,0.013233964,0.0035559393,0.0056388513,0.010816979
design,0.022318924,0.002415997,0.010644167,0.012747219,0.010816973
today,0.0026432797,0.0036179994,0.0011931817,0.012204585,0.010816952
walk,0.0017638336,0.0072239977,0.0011931896,0.011268314,0.010816945
day,0.005273957,0.003617996,0.00473732,0.0065771104,0.009616458
blue,0.013560831,0.015637929,0.022457985,0.019296572,0.009616434
landscape,0.00351889,0.015637984,1.1814014e-05,0.0028241142,0.009616434
grass,0.004396413,0.004819987,0.0047373357,0.012206653,0.00961642
new,0.009661573,0.0096279755,0.02127665,0.015021367,0.009616394
grey,0.0035188904,0.007224003,0.007100071,0.012206597,0.009616387
leisure,0.008784065,0.012032007,0.013007021,0.010330122,0.008415886
week,0.0017638291,0.010829996,0.0071000922,0.008453593,0.008415886
electric,0.0096615525,0.014436032,0.013006955,0.012206626,0.008415873
head,0.004396386,0.013233983,0.015369742,0.008453627,0.00841587
white,0.012294147,0.01082998,0.0212766,0.009391835,0.008415825
year,0.002643288,0.006021992,0.008574305,0.009157211,0.0072153513
tree,0.004396406,0.013233938,0.0047373124,0.0065771095,0.0072153374
adidasoriginal,0.0070290165,0.010830004,0.01418838,0.01126839,0.0072153336
gear,0.009661615,1.20202e-05,0.007100086,0.005638861,0.007215317
water,0.004396425,0.012031857,0.006247251,0.00913094,0.0072153127
adida,0.0017638156,0.012032006,0.011825594,0.00845362,0.0072153104
smile,0.004398284,0.004819991,0.01655113,0.0140810935,0.007215296
make,0.014929535,0.015637951,0.022880808,0.01280604,0.0072152694
plant,0.0061514513,0.014435896,0.010644183,0.018774355,0.0072152647
shoulder,0.0052739396,0.007224013,0.02292424,0.0033921313,0.0060147718
eyebrow,0.008784001,0.014436041,0.0035559377,0.012206646,0.0060147643
change,0.0043964116,0.0072240043,0.010644253,0.007515373,0.006014764
first,0.011416695,0.0060220077,0.004737285,0.0018858659,0.006014751
sneakers,0.006151483,0.004819993,0.0023745692,0.020650899,0.006014751
and,0.013171708,0.021648051,0.013006973,0.0018858681,0.0060147466
cloud,0.0021589582,0.032466054,0.0035559325,0.004278152,0.0060147443
happy,0.014049177,0.032465905,0.018913817,0.019712599,0.0060147364
people,0.012294168,0.03727394,0.0071000396,0.014083112,0.006014719
world,0.017562114,0.014435977,0.011825554,0.014080203,0.0060147173
chin,0.012294237,0.0072239847,0.0047373082,0.010330136,0.0048142276
tennis,0.00351888,0.001214014,0.0011931908,0.0028241207,0.004814226
nature,0.007906535,0.03487003,0.004737328,0.011268304,0.004814215
futurecraft,0.005273951,0.0036180064,0.006379577,0.0033963746,0.0048142113
football,0.00615146,0.0024160151,0.015369753,0.008453623,0.0048142043
elbow,0.015808173,0.002416009,0.001193175,0.0046965326,0.004814203
black,0.020192008,0.009627988,0.017732507,0.008453606,0.004814203
possibility,0.008784061,0.0048199776,0.0023745648,0.0018858652,0.0048141987
music,0.012294228,1.20202e-05,0.00591872,9.38267e-06,0.0036136701
light,0.001763822,0.001214011,0.023639508,0.004700627,0.0036136664
entertainment,0.02370211,0.0072239875,0.005918701,0.0037623695,0.0036136538
forehead,0.013171748,0.014436014,0.0047373124,0.0065771183,0.0036136522
plastic,0.003518871,0.0072239605,0.005110901,0.006280423,0.003613646
get,0.0122941965,0.010830008,0.00946285,0.003762371,0.003613637
future,0.0052759442,0.0036179938,0.008870341,0.015489792,0.0036136096
outerwear,0.00615149,0.007224005,0.01773252,0.005638874,0.0024131096
recreation,0.005273932,0.019243985,0.0035559402,0.012206636,0.002413101
neck,0.021947015,0.0060219606,0.016551046,0.0112683615,0.002413094
waist,0.0158043,0.0048199906,0.012486153,0.0069907717,0.0012125596
eyewear,0.010539137,0.0048200074,0.007639499,0.0089634275,0.0012125573
jaw,0.00878402,0.007223983,0.009462855,0.0093918545,0.0012125546
automotive,0.011416645,1.2020201e-05,0.013007006,0.008453611,0.0012125528
every,0.007906566,0.004820007,0.0074097128,0.005392962,0.0012125509
bicycle,0.0017638312,0.0036180012,0.0023745666,0.00094762567,1.20057675e-05
