,nike_brand,sports_photography,nature_people,sports_accessories,outdoors
leisure,0.0060271234,0.004781492,0.02713277,0.002787102,0.025385916
recreation,0.010541822,0.0038271474,0.011232906,0.0101945,0.025385858
happy,0.0105418125,0.016233891,0.027132869,0.011120495,0.024232512
water,0.021828294,0.003827201,0.0121681485,9.422546e-06,0.023079356
nike,0.036124907,0.012416373,0.011117941,0.026861161,0.02206768
sportswear,0.01957104,0.012416554,0.018593863,0.031490482,0.020922313
people,0.025590468,0.016233932,0.027132425,0.020379832,0.02077262
gesture,0.012799093,0.030549694,0.011232801,0.019453725,0.020772612
sport,0.01505657,0.030549476,0.0102976635,0.039823864,0.020772552
photography,0.005274709,0.028737238,0.010297559,0.015750097,0.020655528
flash,0.0045223283,0.028808966,0.01029753,0.01574998,0.02056932
player,0.012046546,0.023869019,0.010297798,0.03426833,0.01961894
slope,0.0045222295,0.0019184063,0.010297563,0.002787081,0.019618876
run,0.014303884,0.013370731,0.015803533,0.008342637,0.018596206
grass,0.012799112,0.0038271174,0.005620984,0.012046204,0.018465862
elbow,0.001512493,0.009553311,0.0046858243,0.012046295,0.018465659
cloud,0.023333324,0.023868894,0.012168125,0.0037132152,0.01846565
nature,0.028600369,0.013371038,0.029003616,0.01297231,0.01846559
plant,0.033114977,0.0019184562,0.0131035615,0.009268693,0.01731219
thigh,0.013551572,0.006690208,0.010164529,0.021305451,0.016322829
footwear,0.0331152,0.010507735,0.008426981,0.012972054,0.016159073
mountain,0.00903684,0.0028727616,0.015909256,0.0009353204,0.016158799
arm,0.009789349,0.009553279,0.0018799648,0.003713035,0.015005548
tree,0.023333268,0.006690353,0.014974001,0.00463902,0.015005528
outdoor,0.022580802,0.0028727911,0.0028152613,0.009268591,0.015005524
make,0.006779454,0.011572508,0.019543746,0.003712972,0.015003724
landscape,0.019571105,0.00096409186,0.011232678,9.403724e-06,0.013852159
hand,0.0030173364,0.0066901506,0.0065564024,0.008342553,0.01385213
city,0.0045221667,0.007644533,0.0045415177,0.000935251,0.012876625
like,0.004522232,0.007644603,0.011232794,0.010194457,0.012698721
snow,0.0037697505,0.0028727585,0.00936218,0.0037130262,0.012698591
play,0.0045222207,0.018294936,0.010297559,0.0046389233,0.012514738
day,0.0052746856,0.0057358006,0.007360553,0.007416655,0.011707133
event,0.0052747326,0.012416341,0.016844572,0.0018611843,0.011545375
road,0.006027057,0.0019183566,0.013103412,0.0018611957,0.011545328
light,0.013551482,0.0135311335,0.014876232,0.0009352958,0.011472198
get,0.008284432,0.024047526,0.011232732,0.0074167303,0.0113293575
time,0.00903692,0.0010597112,0.008296308,0.012046241,0.010437383
never,0.0015124462,0.008710554,0.006418892,0.0037129442,0.010426458
tennis,0.0030173257,9.625697e-06,0.0074915676,0.005564785,0.0103920335
start,0.006026976,0.0076445504,0.009362276,0.0064907954,0.01039203
smile,0.00978933,0.012416334,0.006556453,0.0092685,0.010392013
white,0.011294138,0.013370808,0.0037505834,0.0027871374,0.010392012
art,0.011294166,0.009553207,0.012168166,0.0111204535,0.010391987
black,0.008284363,0.008598906,0.0046858364,0.00371299,0.009238673
look,0.0022648887,0.0038270394,0.010297536,0.00741661,0.009238595
shoulder,0.0037697193,0.0076446002,0.006556421,0.008342599,0.009238549
good,0.0075320294,0.004882703,0.013006271,0.012046264,0.009236037
team,0.0052746967,0.01256634,0.003750577,0.002787071,0.0090572
uniform,0.016561465,0.02386887,0.0054841354,0.028712431,0.0082545765
change,0.0030173059,0.0028726875,0.00926693,0.0037129843,0.008202788
shorts,0.009036922,0.01241641,0.010209335,0.012972017,0.008194191
inspire,0.0022648298,0.009667794,0.003628083,0.009268443,0.008097893
short,0.011294138,0.009553336,0.009362348,0.008342532,0.008085307
body,0.017313752,0.012416417,0.0074917385,0.010194472,0.008085289
first,0.0060270703,0.008708977,0.00468582,0.008342598,0.007952066
game,0.013551577,0.007762874,0.005621124,0.008342652,0.007942232
athlete,0.009036933,0.0057358425,0.006441213,0.006490709,0.007073845
every,0.009789265,0.0019183353,0.0064527956,0.004638927,0.007059651
entertainment,0.0067795725,0.010507744,0.0065562963,0.003713032,0.006931925
leg,0.018818602,0.0152796,0.009362264,0.0203794,0.006931919
human,0.015056448,0.015279544,0.008427019,0.012972173,0.0069318963
today,0.0007600179,0.011462016,0.0046858005,0.009268478,0.0069318884
blue,0.011294205,0.011461975,0.011232836,0.0046389443,0.006931887
building,0.00978919,0.004781501,0.012168167,0.0009353266,0.0069318195
tell,0.00075998553,0.0019183208,0.012998051,0.0037129521,0.005908452
line,0.003017369,0.0047814,0.013103208,0.0037130374,0.0057785665
shirt,0.007532014,0.009553271,0.006556352,0.016675975,0.0057784645
muscle,0.0060271528,0.015279549,0.009362247,0.00463889,0.0057784277
marathon,0.010541713,0.0028727036,0.00655638,0.0037130192,0.0057783993
design,0.01054173,0.0010719898,0.01310331,0.012046264,0.0056480113
year,0.010541802,0.004907211,0.008426948,0.0018611037,0.0056265034
and,0.019571085,0.010507626,0.00739005,0.012046435,0.0047505465
natural,0.020323519,9.661786e-06,0.008427004,9.347388e-06,0.0046251365
street,0.007532077,0.01337089,0.026197465,0.02130555,0.004625135
well,0.003017323,0.005735782,0.010297531,0.001861136,0.0046251076
community,0.010541803,0.0068359855,0.0056211473,0.0074166497,0.0044488716
knee,0.009036733,0.0038271318,0.009266935,0.022231413,0.0035894322
world,0.012046702,0.02386885,0.015821066,0.017601917,0.0035806745
jersey,0.0045222356,0.017188063,0.003750628,0.029638927,0.0034718607
fashion,0.00828444,0.006690274,0.021521004,0.02593503,0.0034718527
new,0.01129423,0.00955328,0.015909279,0.009268545,0.0034717403
know,0.0022648703,0.014325225,0.0056210663,0.003712961,0.0034717333
keep,0.0052746544,0.0019183323,0.005621079,0.0138981175,0.003471713
quot,0.003769737,0.0047814306,0.0037504416,0.0037129617,0.0034717026
helmet,0.0022649306,0.0087251915,9.448458e-06,0.01389795,0.0033190777
football,0.00226493,0.024039157,0.0028152359,0.02315733,0.003266161
move,0.0037696816,0.004008899,0.012168162,0.003713029,0.0032519493
win,7.577418e-06,0.015279496,0.003647202,0.011120337,0.0024457704
see,0.0022648857,0.008598924,0.008328088,0.0074166525,0.0024402295
font,0.01129422,0.015279473,0.008427049,0.012046176,0.00231845
ball,0.00753202,0.009553281,0.005621182,0.0074165864,0.0023183771
way,0.0045221667,0.010507652,0.00749171,0.0055647767,0.002318368
woman,0.0045221285,0.007644584,0.0056211064,0.008342543,0.0023183557
dream,0.0015124636,0.008598906,0.007491702,0.008342517,0.0023183478
gear,0.0075320546,0.013520767,9.465048e-06,0.025934977,0.0021372556
wood,0.018066118,9.694712e-06,0.008427047,0.011120287,0.0011650774
basketball,0.010541753,0.006690157,0.0037505287,0.0037130301,0.0011649684
find,0.006779462,0.0019183451,0.018657546,0.003712976,8.277247e-05
sleeve,0.016561422,0.020051427,0.01684457,0.008342561,1.1745185e-05
